"wave","province","province_name","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 4","P0012","North Khorasan",1932.2153846155552,2153,220.7846153844448,338.0557692306693,241.4316204478937,-255.59788670221337,697.167117471103,-138.3267328559889,814.4382713173275
"wave 4","P0013","Khuzestan",8303.111538462239,12528,4224.888461537761,4347.288461537877,822.1127371817666,2602.7309247188177,5847.045998356704,2725.130924718934,5969.44599835682
"wave 4","P0014","Zanjan",2018.6807692310801,2940,921.3192307689199,971.4615384612478,313.7701777468451,302.20139492820203,1540.4370666096377,352.34370262052994,1590.5793743019656
"wave 4","P0015","Semnan",1410.2423076923737,1774,363.75769230762626,413.03269230764954,181.9861174924071,4.670503002279418,722.844881612973,53.9455030023027,772.1198816129963
"wave 4","P0016","Sistan and Baluchistan",5541.603846154156,5896,354.3961538458443,726.1628205126708,792.5162504099318,-1209.3628666760826,1918.1551743677712,-837.5962000092561,2289.9218410345975
"wave 4","P0017","Fars",8823.700000000277,11674,2850.299999999723,2932.3249999998216,953.5753459856439,968.7460908387948,4731.853909160651,1050.7710908388935,4813.87890916075
"wave 4","P0018","Qazvin",2314.1307692307505,3311,996.8692307692495,1029.0538461538629,357.5892869930122,291.28941093831565,1702.4490506001835,323.47402632292903,1734.6336659847966
"wave 4","P0019","Qom",2413.7269230770085,3006,592.2730769229915,651.6974358973971,291.0672611971959,17.95166074976578,1166.5944930962173,77.37601972417133,1226.0188520706229
"wave 4","P0020","Kurdistan",2795.130769230961,3597,801.869230769039,915.5858974357325,394.60776843298305,23.24613359478849,1580.4923279432894,136.96280026148202,1694.208994609983
"wave 4","P0021","Kerman",5715.942307692685,6542,826.0576923073149,1071.4576923074255,629.9841596443705,-416.9999887436934,2069.1153733583233,-171.5999887435828,2314.515373358434
"wave 4","P0022","Kermanshah",4412.7307692309405,5302,889.2692307690595,981.2846153845039,402.86973174831354,94.3439824971041,1684.1944790410148,186.3593671125485,1776.2098636564592
"wave 4","P0023","Kohgiluyeh and Boyer Ahmad",1176.6000000000363,1516,339.3999999999637,383.76666666664187,185.04456417901005,-25.72198492312208,704.5219849230496,18.644681743556077,748.8886515897277
"wave 4","P0024","Golestan",3540.9346153848155,4303,762.0653846151845,810.9730769229286,432.48804294473643,-91.30144297085417,1615.4322122012231,-42.39375066311004,1664.3399045089673
"wave 4","P0025","Gilan",6642.496153846048,7885,1242.5038461539516,1362.119230769365,678.6611145150213,-96.60111119094472,2581.608803498848,23.014273424468684,2701.2241881142613
"wave 4","P0026","Lorestan",3621.688461538287,4537,915.3115384617131,997.7461538463385,409.94912567536767,106.4175342083721,1724.205542715054,188.85214959299753,1806.6401580996794
"wave 4","P0027","Mazandaran",6673.253846154113,8120,1446.7461538458874,1638.3692307690635,727.9940512705502,10.29956493142663,2883.192742760348,201.92264185460272,3074.8158196835243
"wave 4","P0028","Markazi",3089.6923076925145,4076,986.3076923074855,1069.374358974207,358.7276974864038,278.48160979464797,1694.133774820323,361.5482764613696,1777.2004414870446
"wave 4","P0029","Hormozgan",2569.0615384616312,3166,596.9384615383688,693.3346153845564,347.2468041696594,-88.23401547625645,1282.110938552994,8.1621383699312,1378.5070923991816
"wave 4","P0030","Hamedan",4292.503846154028,5749,1456.496153845972,1608.1230769229778,383.99970939726813,698.8044230616825,2214.1878846302616,850.4313461386884,2365.8148077072674
"wave 4","P0031","Yazd",1964.1115384614095,2142,177.8884615385905,372.0923076923764,284.12429608657175,-382.73339413314204,738.510317210323,-188.52954797935615,932.7141633641089
"wave 4","P9999","Iran",152456.90000000724,200403,47946.09999999276,49118.29999999431,12435.16355791461,23409.56945529263,72482.63054469289,24581.769455294183,73654.83054469444
"wave 5","P0001","East Azerbaijan",7639.46602564111,12437,4797.53397435889,4797.53397435889,1081.6882426765465,2663.1932009008992,6931.874747816881,2663.1932009008992,6931.874747816881
"wave 5","P0002","West Azerbaijan",5165.924358974742,8512,3346.075641025258,3356.7525641021875,725.2985596696979,1914.9476803451,4777.203601705416,1925.6246034220296,4787.880524782346
"wave 5","P0003","Ardabil",2387.767948718019,3593,1205.232051281981,1221.3153846153014,340.3344905194071,533.6986546239641,1876.765447939998,549.7819879572844,1892.8487812733183
"wave 5","P0004","Isfahan",8259.481410257144,14547,6287.518589742856,6287.518589742856,1195.4669229948329,3928.674611967263,8646.36256751845,3928.674611967263,8646.36256751845
"wave 5","P0005","Alborz",3785.9871794875016,7339,3553.0128205124984,3553.0128205124984,695.4047320500925,2180.8700763170564,4925.15556470794,2180.8700763170564,4925.15556470794
"wave 5","P0006","Ilam",814.7967948718428,1279,464.20320512815715,466.4724358973919,199.91571764809132,69.73809901252406,858.6683112437902,72.00732978175881,860.937542013025
"wave 5","P0007","Bushehr",1389.7217948718426,2497,1107.2782051281574,1109.8269230768767,264.54144722158327,585.2963855999154,1629.2600246563993,587.8451035486347,1631.8087426051188
"wave 5","P0008","Tehran",19701.93333333476,36772,17070.06666666524,17070.06666666524,2907.4174357410457,11333.275478836476,22806.857854494003,11333.275478836476,22806.857854494003
"wave 5","P0009","Chahaar Mahal and Bakhtiari",1364.752747252745,2120,755.2472527472551,785.7545787545805,329.7369620109985,102.85459766253302,1407.639907831977,133.36192366985847,1438.1472338393025
"wave 5","P0010","South Khorasan",1306.2935897436373,1715,408.7064102563627,427.12051282046923,288.2142525725442,-159.98557185779077,977.3983923705161,-141.57146929368423,995.8124949346227
"wave 5","P0011","Razavi Khorasan",10478.091025641794,18891,8412.908974358206,8412.908974358206,1607.9916104599843,5240.089004446244,11585.72894427017,5240.089004446244,11585.72894427017
"wave 5","P0012","North Khorasan",1629.8929487180853,2658,1028.1070512819147,1038.2032051280753,286.8130481009235,462.1798656384444,1594.034236925385,472.27601948460506,1604.1303907715455
"wave 5","P0013","Khuzestan",6847.288461539049,11979,5131.711538460951,5131.711538460951,976.6436542019113,3204.6402344923963,7058.782842429505,3204.6402344923963,7058.782842429505
"wave 5","P0014","Zanjan",1739.127564102834,2492,752.872435897166,777.8993589741306,372.7489419828083,17.380236066412863,1488.3646357279192,42.407159143377385,1513.3915588048837
"wave 5","P0015","Semnan",1198.6826923077438,1729,530.3173076922562,530.3173076922562,216.19369067349479,103.7332044694715,956.901410915041,103.7332044694715,956.901410915041
"wave 5","P0016","Sistan and Baluchistan",4677.62948717974,6674,1996.37051282026,2209.0692307690715,941.4839739355197,138.67477956940115,3854.066246071119,351.3734975182126,4066.7649640199306
"wave 5","P0017","Fars",7285.458333333567,11335,4049.5416666664332,4049.5416666664332,1132.8170314729746,1814.315763537702,6284.7675697951645,1814.315763537702,6284.7675697951645
"wave 5","P0018","Qazvin",1995.6858974358806,3297,1301.3141025641194,1306.606410256426,424.80464315668036,463.1078293776077,2139.520375750631,468.4001370699143,2144.8126834429377
"wave 5","P0019","Qom",2042.656410256479,4231,2188.343589743521,2188.343589743521,345.7786027855873,1506.0681046291857,2870.6190748578565,1506.0681046291857,2870.6190748578565
"wave 5","P0020","Kurdistan",2306.3525641027327,3792,1485.6474358972673,1492.0320512819064,468.78141586642664,560.6680839470872,2410.6267878474473,567.0526993317263,2417.0114032320866
"wave 5","P0021","Kerman",4631.53269230801,7340,2708.46730769199,2708.46730769199,748.4010451799694,1231.7545150358596,4185.18010034812,1231.7545150358596,4185.18010034812
"wave 5","P0022","Kermanshah",3768.635897436031,6308,2539.364102563969,2539.364102563969,478.59636420473225,1595.0183161816328,3483.709888946305,1595.0183161816328,3483.709888946305
"wave 5","P0023","Kohgiluyeh and Boyer Ahmad",986.591666666694,1396,409.408333333306,423.99999999997044,219.82702757822918,-24.344914189592146,843.1615808562042,-9.753247522927722,857.7532475228686
"wave 5","P0024","Golestan",2975.965384615555,5743,2767.034615384445,2774.2307692305967,513.7819711938324,1753.262100788921,3780.8071299799685,1760.458254635073,3788.0032838261204
"wave 5","P0025","Gilan",5559.587179487079,8463,2903.412820512921,2914.6461538462418,806.2277116817656,1312.5989336241826,4494.226707401659,1323.8322669575034,4505.46004073498
"wave 5","P0026","Lorestan",3143.4115384613715,4428,1284.5884615386285,1314.4192307693756,487.00645790903246,323.6482395384339,2245.5286835388233,353.47900876918106,2275.3594527695705
"wave 5","P0027","Mazandaran",5732.921153846374,9140,3407.078846153626,3407.078846153626,864.8336636913831,1700.626212344669,5113.531479962583,1700.626212344669,5113.531479962583
"wave 5","P0028","Markazi",2640.041025641205,3938,1297.9589743587949,1297.958974358795,426.15703844248577,457.08421289031344,2138.8337358272765,457.08421289031367,2138.8337358272765
"wave 5","P0029","Hormozgan",2091.2134615385385,3466,1374.7865384614615,1376.3769230768542,412.5181041527821,560.8235362342549,2188.7495406886683,562.4139208496475,2190.3399253040607
"wave 5","P0030","Hamedan",3742.512820512966,5319,1576.4871794870342,1609.4102564101277,456.17938080873915,676.3736217564666,2476.600737217602,709.2966986795601,2509.5238141406953
